Sepal.Length,Sepal.Width,Petal.Length,Petal.Width,Species
4.1,3.34,1.54,0.07,grupo_A_sintetico
4.16,3.44,0.98,0.18,grupo_A_sintetico
4.82,3.54,0.94,0.39,grupo_A_sintetico
4.52,3.7,0.76,0.49,grupo_A_sintetico
4.88,3.37,1.21,-0.04,grupo_A_sintetico
5.48,3.46,1.71,-0.01,grupo_A_sintetico
4.72,3.04,1.36,0.44,grupo_A_sintetico
3.99,3.2,1.39,0.32,grupo_A_sintetico
5.38,3.45,1.3,0.18,grupo_A_sintetico
4.82,3.15,1.85,0.25,grupo_A_sintetico
5.3,3.34,1.54,0.4,grupo_A_sintetico
5.2,3.56,1.46,0.33,grupo_A_sintetico
5.19,3.15,1.14,0.43,grupo_A_sintetico
5.8,3.26,1.31,0.42,grupo_A_sintetico
4.88,3.37,1.43,0.48,grupo_A_sintetico
4.79,3.47,2.04,0.26,grupo_A_sintetico
4.73,3.61,1.3,0.44,grupo_A_sintetico
5.13,3.44,1.51,0.1,grupo_A_sintetico
5.53,3.13,1.62,0.42,grupo_A_sintetico
5.36,3.16,1.65,0.3,grupo_A_sintetico
5.54,3.26,1.17,0.3,grupo_A_sintetico
5.48,3.64,1.4,0.41,grupo_A_sintetico
4.22,3.2,1.22,0.35,grupo_A_sintetico
4.54,3.68,2.24,0.2,grupo_A_sintetico
4.51,3.34,1.49,0.54,grupo_A_sintetico
5.45,3.26,1.94,0.45,grupo_A_sintetico
4.43,3.86,1.34,0.36,grupo_A_sintetico
5.17,3.54,0.99,0.24,grupo_A_sintetico
5.63,3.43,1.84,0.41,grupo_A_sintetico
4.81,2.93,1.43,0.57,grupo_A_sintetico
4.49,3.6,1.89,0.01,grupo_A_sintetico
5.0,3.55,1.47,0.29,grupo_A_sintetico
5.25,3.23,1.66,0.36,grupo_A_sintetico
4.29,3.3,2.32,0.29,grupo_A_sintetico
4.98,3.45,1.74,0.26,grupo_A_sintetico
4.47,3.25,1.24,0.1,grupo_A_sintetico
4.89,3.07,1.92,0.34,grupo_A_sintetico
5.25,3.32,1.41,0.29,grupo_A_sintetico
4.9,3.61,1.77,0.66,grupo_A_sintetico
5.26,3.39,1.16,0.23,grupo_A_sintetico
4.87,3.21,1.62,0.1,grupo_A_sintetico
5.27,3.36,1.69,0.49,grupo_A_sintetico
4.35,3.48,1.79,0.3,grupo_A_sintetico
4.11,3.49,1.08,0.23,grupo_A_sintetico
5.05,3.31,1.54,0.39,grupo_A_sintetico
4.39,3.41,1.0,0.34,grupo_A_sintetico
5.31,3.01,2.2,0.17,grupo_A_sintetico
4.77,3.52,2.0,0.3,grupo_A_sintetico
4.6,3.46,1.56,0.59,grupo_A_sintetico
5.24,3.45,1.39,0.14,grupo_A_sintetico
5.77,2.74,4.53,1.33,grupo_B_sintetico
6.21,2.79,4.18,1.14,grupo_B_sintetico
6.31,2.82,4.18,1.06,grupo_B_sintetico
5.71,2.67,4.23,1.15,grupo_B_sintetico
5.68,2.53,4.17,1.19,grupo_B_sintetico
5.57,2.95,4.8,1.2,grupo_B_sintetico
6.41,2.58,4.45,1.19,grupo_B_sintetico
6.59,2.56,4.06,1.19,grupo_B_sintetico
7.02,2.98,4.42,1.41,grupo_B_sintetico
6.23,2.65,4.43,1.08,grupo_B_sintetico
6.64,3.08,4.32,0.97,grupo_B_sintetico
5.94,2.62,4.63,1.26,grupo_B_sintetico
5.68,2.52,4.21,1.28,grupo_B_sintetico
5.77,2.84,4.07,1.23,grupo_B_sintetico
6.23,2.77,3.97,1.51,grupo_B_sintetico
5.93,3.01,3.84,1.42,grupo_B_sintetico
6.28,2.97,4.08,1.22,grupo_B_sintetico
6.47,3.13,4.75,1.35,grupo_B_sintetico
5.66,2.74,4.39,1.37,grupo_B_sintetico
5.98,2.38,4.42,0.87,grupo_B_sintetico
6.46,2.53,4.55,1.14,grupo_B_sintetico
6.03,2.61,4.03,1.27,grupo_B_sintetico
6.06,2.86,4.11,1.21,grupo_B_sintetico
